ID_sportsman,Name,Sex,Sport
90050,Mohamed Amin Ouadahi,M,Boxing
90054,Lamine Ouahab,M,Tennis
90059,Newfel Ouatah,M,Boxing
90068,Kamel Ouchia,M,Handball
90084,Rachida Ouerdane,F,Judo
90092,Azzedine Ouhib,M,Handball
90100,Fatima Zahra Oukazi,F,Volleyball
90104,Farid Oulami,M,Table Tennis
90117,Lydia Oulmou,F,Volleyball
90136,Abdelhalim Ourradi,M,Boxing
98376,Miloud Rahmouni,M,Athletics
98385,Abdelmalek Rahou,M,Boxing
98386,Boualem Rahoui,M,Athletics
98387,Baya Rahouli,F,Athletics
99377,Omar Rebahi,M,Judo
99399,Miloud Rebiai,M,Football
99501,Wassila Rdouane-Sad-Guerni,F,Fencing
99606,Youcef Reguigui,M,Cycling
102911,Nabil Rouabhi,M,Handball
102912,Raouya Rouabhia,F,Volleyball
102916,Amina Rouba,F,Rowing
104135,Hakim Sadi,M,Athletics
104306,Abdel Hamid Sahil,M,Athletics
104322,Oussama Sahnoune,M,Swimming
104336,Ahmed Sad,M,Boxing
104337,Azzedine Sad,M,Boxing
104345,Assa Djabir Sad-Guerni,M,Athletics
104349,Kahina Saidi,F,Judo
104350,Redouane Sadi,M,Handball
104352,Ali Sadi-Sief,M,Athletics
104724,Ferial Nadira Salhi,F,Fencing
104799,Mohamed Salmi,M,Athletics
104800,Moustafa Kamel Salmi,M,Athletics
108258,Zineddine Mohamed Seghir,M,Handball
108647,Adel Sennoun,M,Volleyball
108648,Mourad Sennoun,M,Volleyball
108837,Mohamed Serir,M,Wrestling
109481,Yacine Sheikh,M,Boxing
110451,Kader Silia,M,Wrestling
111318,Hamid (Victor-) Sints,M,Fencing
111952,Abdel Madjid Slimani,M,Handball
111953,Aghiles Slimani,M,Swimming
112998,Hocine Soltani,M,Boxing
112999,Mebarek Soltani,M,Boxing
113394,Salima Al-Souakri (-Dahmani),F,Judo
117675,Foudil Taalba,M,Volleyball
117714,Bilal Tabti,M,Athletics
117752,Noureddine Tadjine,M,Athletics
118112,Kamel Talhaoui,M,Athletics
118610,Ahmed Tarbi,M,Weightlifting
118838,Mohammed Amine Tayeb,M,Judo
119113,Faycal Tellouche,M,Volleyball
120566,Lies Tizioualou,M,Volleyball
121453,Nahida Mahour Bacha Touhami,F,Athletics
121454,Abdelaziz Touilbini,M,Boxing
121464,Hakim Toumi,M,Athletics
122168,Faza Tsabet,F,Volleyball
132144,Reda Yadi,M,Swimming
132165,Noureddine Al-Yagoubi,M,Judo
132175,Abdel Manaane Yahiaoui,M,Weightlifting
132176,Djamel Yahiouche,M,Swimming
133250,Omar Yousfi,M,Weightlifting
133979,Mohamed Zaoui,M,Boxing
134233,Messaoud Mohammed Zeghdane,M,Wrestling
134345,Slimane Zengli,M,Boxing
134369,Antar Zerguelaine,M,Athletics
134909,Fateh Ziadi,M,Shooting
134914,Rachid Ziar,M,Athletics
135287,Houd Zourdani,M,Judo
5053,Pol Arias Dourdet,M,Swimming
7794,Gerard Barcia Duedra,M,Shooting
8177,Esther Barrugus Alvina,F,Shooting
10658,"Antonio ""Toni"" Bernad Planas",M,Athletics
10974,Joan Besoli Lluelles,M,Shooting
10975,"Antoni ""Toni"" Besol Cervellera",M,Judo
19419,Carolina Cerqueda Santacreu,F,Swimming
27902,Santiago Deu,M,Swimming
29209,Esteve Dolsa Montaa,M,Shooting
34547,Silvia Felipo Sue,F,Athletics
38534,Daniel Garca Gonzlez,M,Judo
38661,Montserrat Garca Riberaygua,F,Canoeing
38933,Francesco Gaset Fris,M,Shooting
41566,Juan Josep Gonzlez Fuentes,M,Cycling
42230,Josep Graells Esquius,M,Athletics
44557,Hocine Haciane Constantin,M,Swimming
70837,Cristina Llovera Rossell,F,Athletics
81258,Antoni Molne Oviedo,M,Judo
81452,Joan Claudi Montane Delneufcourt,M,Boxing
81964,"Margarida ""Maggy"" Moreno Snchez",F,Athletics
82288,Fiona Morrison Porta,F,Sailing
82708,Pol Moya Betriu,M,Athletics
89792,Joan Aitor Osorio Marti,M,Swimming
93304,Emili Prez Font,M,Cycling
93410,Xavier Prez Font,M,Cycling
97466,Montserrat Pujol Joval,F,Athletics
98662,Mnica Ramrez Abella,F,Swimming
98686,David Ramn Borra,M,Sailing
98689,Oscar Ramn Borra,M,Sailing
100048,Francesc Repiso Romero,M,Shooting
104015,Meritxell Sabate Gonzlez,F,Swimming
104777,Laura Salls Lpez,F,Judo
120874,Joan Tomas Roca,M,Shooting
568,Morais Santos Abreu,M,Beach Volleyball
1092,Paixo Afonso,M,Sailing
1225,Joo Paquete Aguiar,M,Swimming
2971,Carlos Domingos Bendinha de Almeida,M,Basketball
2978,Nair Felipe Pires de Almeida,F,Handball
2980,Teresa Patrcia Almeida,F,Handball
3306,Rosa Amaral,F,Handball
3368,Felizardo Silvestre Bumba Ambrsio,M,Basketball
4565,Manuel Andr Antonio,M,Athletics
7774,Neyde Marisa Pina Barbosa,F,Handball
8153,Ana Patrcia  da Costa Barros,F,Handball
8159,Milton Lourenco Rosa Barros,M,Basketball
8319,Abbo Dias Bartolomeu,M,Judo
10090,Ilda Maria Bengue,F,Handball
10716,Natlia Maria Bernardo,F,Handball
11873,Luzia Mara Bizerra,F,Handball
14301,Ricardo Jos Boy,M,Judo
14608,Cristina Direito Branco,F,Handball
17157,Ablio Almeida Cabral,M,Boxing
17309,Elisabeth Jurema Faro Cailo,F,Handball
17368,Bombo Madalena Calandula,F,Handball
17827,Catarina Juliana Camufal,F,Basketball
17828,Regina Edite Camumbila,F,Handball
18041,Joo Francisco Capindica,M,Athletics
18195,ngela Snia  Monteiro Cardoso,F,Basketball
18289,Azenaide Danila Jos Carlos,F,Handball
18692,Joo Carvalho,M,Athletics
19152,Felismina Cavela,F,Athletics
19195,Magda Alfredo Cazanga,F,Handball
20817,Belarmino Mrio Chipongue,M,Basketball
21658,Olmpio Cipriano,M,Basketball
22215,Alberto Mendes Coelho,M,Boxing
22218,Ildio Sirgado Coelho Sirgado,M,Athletics
22282,Herlander Fernandes Silva Coimbra,M,Basketball
23032,Domingas Antnia Cordeiro,F,Handball
23276,Armando Carlos Silva e Costa,M,Basketball
23300,Lus Miguel Faztudo e Costa,M,Basketball
23316,Walter Costa,M,Basketball
24051,Ndia Vanda Sousa Eloy Cruz,F,Swimming
24634,Jean-Jacques Nzadi da Conceio,M,Basketball
24649,Guilhermina P. da Cruz,F,Athletics
25202,Marcos Daniel,M,Swimming
25861,Jos Lus de Almeida,M,Boxing
25864,Palmira Mirita de Almeida,F,Handball
26008,Helder Jos Ina de Carvalho,M,Judo
26015,Victor Antnio Rafael de Carvalho,M,Basketball
26188,Jos Maria de Jess,M,Judo
26656,Joo Paulo de Leiria e Silva,M,Shooting
26660,Apolinrio de Silveira,M,Boxing
26683,Francisco Sampaio de Souza,M,Judo
26686,Joo Louvado Sampaio de Souza,M,Judo
27255,Delfina Joaquim Nalussinga Cassinda,F,Athletics
28194,David Bartolomeu Dias,M,Basketball
29226,Wuta Waco Bige Dombaxi,F,Handball
29253,Garcia Joo dos Santos Domingos,M,Basketball
29570,Antnio Dias dos Santos,M,Athletics
29582,Janete Viegas dos Santos,F,Handball
31465,Mria Teresa Joaquim Eduardo,F,Handball
32263,Ana Isabel Elias,F,Athletics
33410,Fineza  da Silva Eusbio,F,Basketball
33775,Maura Ftima Santos Faial,F,Handball
34560,Madalena de Carvalho Felix,F,Basketball
34744,Armnio Gaspar Fernandes,M,Athletics
34746,Carla Fernandes,F,Swimming
34751,Emanuel de Jesus R. da Cos Fernandes,M,Beach Volleyball
34755,Isabel Samboyo Fernandes,F,Handball
34772,Vivaldo Fernandes,M,Swimming
34968,Afonso Pedro Gonalves Ferraz,M,Athletics
35315,Luvambu Filipe,M,Sailing
35316,Ngendua Filipe,F,Basketball
36392,Luis Carlos Filipe Fortunato,M,Judo
36598,Gaspar Fragata,M,Swimming
37040,Elsa Vicente Freire,F,Swimming
38272,Eliseu Ganda,M,Sailing
41260,Joaquim Brando Gomes,M,Basketball
41261,Jorge Gomes,M,Swimming
41264,Manuel Gomes,M,Boxing
41370,Ana Cludia  da Costa Gonalves,F,Basketball
41373,Maria Gonalves,F,Handball
43439,Snia  Sebastio Guadalupe,F,Basketball
43668,Isabel Evelize Wangimba Guialo,F,Handball
43743,Jos Carlos R. de Carvalho Guimares,M,Basketball
47719,Mariana Henriques,F,Swimming
47720,Nelson Henriques,M,Canoeing
52067,Jos Antnio Incio,M,Judo
52068,Rubn Incio,M,Athletics
54656,Vladimir Ricardino Carval Jeronimo,M,Basketball
55026,Aa Bela Joaquim,F,Handball
55580,Maria Ins Jololo,F,Handball
55907,Felizarda  da Conceio Jorge,F,Basketball
57920,Albertina da Cruz Kassoma,F,Handball
57974,Buila Katiavala,M,Basketball
58011,Eugnio Katombi,M,Athletics
59525,Lusa Kiala,F,Handball
59526,Marcelina Ireny Kiala,F,Handball
66704,Belina Larica,F,Handball
68535,Hermenegildo Leite,M,Athletics
68597,Manuel Lelo,M,Sailing
69919,Jorge Barata Lima,M,Swimming
69923,Pedro Manuel Barata Lima,M,Swimming
71302,Fernando Lopes,M,Swimming
